company_name,domain,source_url,location_searched,snippet,estimated_property_count,geographic_markets,luxury_keywords_found,luxury_keyword_count,high_adr_signals,concierge_mentioned,pms_detected,channel_managers,contact_email,data_sources,enrichment_success
Knight Frank Estate Agents,knightfrank.co.uk,https://www.knightfrank.co.uk/,London,"Discover residential and luxury property across London and the UK with Knight Frank, trusted estate agents since 1896.We specialise in selling and letting a wide range of homes, from modern London apartments to historical country houses, farms, and international pieds-à-terre.",,"London, Monaco","luxury, bespoke, villa, estate, tailored",5,False,False,,,,"duckduckgo_search, website_scrape",True
Airbnb,airbnb.co.uk,https://www.airbnb.co.uk/,London,Bristol Holiday rentals . Eastbourne Cabin rentals . Windermere Cottage rentals . Bangkok Villa rentals . Leicester House rentals .,,,villa,1,False,False,,Airbnb,,"duckduckgo_search, website_scrape",True
"BARNES, the leading player in international luxury real estate",barnes-international.com,https://www.barnes-international.com/en/,London,BARNES establishes its luxury real estate agencies in the most prestigious locations of these destinations. Our integrated network of agencies is able to offer a selection of high-end properties that meet our clients' criteria.,,Ibiza,"luxury, high-end, concierge, villa, estate, tailored",6,False,True,,,,"duckduckgo_search, website_scrape",True
International Homes for Sale and Apartment Rentals,christiesrealestate.com,https://www.christiesrealestate.com/,London,Christie’s International Real Estate provides tailored solutions and exceptional results for the world’s most discerning luxury real estate clientele.,,,"luxury, estate, tailored",3,False,False,,,,duckduckgo_search,False
Apartments For Rent in United States,zillow.com,https://www.zillow.com/us/apartments/,London,Management tasks. List your property for rent .Tools for rental managers . Check your property's rental value. Screen renters with applications. Create and manage leases. Collect rent . Learn about renting out your property.,,,,0,False,False,,,,duckduckgo_search,False
Luxury Hotels,rosewoodhotels.com,https://www.rosewoodhotels.com/,London,"Indulge in the world of luxury with Rosewood, a global collection of hotels & resorts designed for discerning travelers seeking unparalleled elegance. Rentals . Residences for Sale. Explore the collection of authentic homes, crafted with design and distinctive Rosewood service.",,London,"luxury, curated, exclusive, villa, private, tailored, signature",7,False,True,,,,"duckduckgo_search, website_scrape",True
Short,thefreedictionary.com,https://www.thefreedictionary.com/short,London,"1. Abruptly; quickly: stop short. 2. In a rude or curt manner. 3. At a point before a given boundary, limit, or goal: a missile that landed short of the target. 4. At a disadvantage: We were caught short by the …",,,,0,False,False,,,,"duckduckgo_search, website_scrape",True
Short Definition & Meaning,yourdictionary.com,https://www.yourdictionary.com/short,London,Short definition: Having little length; not long.,,,exclusive,1,False,False,,,,"duckduckgo_search, website_scrape",True
short,en.wiktionary.org,https://en.wiktionary.org/wiki/short,London,"May 8, 2026 · Short is often used in the positive vertical dimension and used as is shallow in the negative vertical dimension; in the horizontal dimension, narrow is more commonly used.",,,,0,False,False,,,,"duckduckgo_search, website_scrape",True
short,wordnik.com,https://www.wordnik.com/words/short,London,"If you’ve locked the screen, sliding the keyboard out automatically unlocks, and if the keyboard is out for a short time don’t know what a ’short time’ is yet, the screen will re-lock when the keyboard is stowed.",,,estate,1,False,False,,,,"duckduckgo_search, website_scrape",True
Villa Holiday Specialist,villaplus.com,https://www.villaplus.com/,London,Book with peace of mind. All villas are hand-picked and inspected by our travel experts. Find a space to escape and enjoy your own villa with a private pool & the overseas team are on hand to help.,,,"villa, private",2,False,False,,,,duckduckgo_search,False
Villa Eterna Holiday Rental,marbslifestyle.com,https://marbslifestyle.com/rentals/villa/villa-eterna-holiday-rental-beachfront/,London,"Beachside holiday rental villa in Costabella with sea views, 4 bedrooms, 4 bathrooms. Perfect for your Marbella escape. Check availability today.",,Marbella,"luxury, concierge, villa, private, handpicked",5,False,True,,,,"duckduckgo_search, website_scrape",True
Holiday Villa Johor Bahru Concierge,tripadvisor.in,https://www.tripadvisor.in/Hotel_Feature-g298278-d10062232-zft9656-Holiday_Villa_Johor_Bahru.html,London,"Warmest greetings from Holiday Villa Johor Bahru City Centre! Thank you for taking the time to share your recent experience at our hotel. We are so glad you found our hotel a good place to stay, and that you enjoyed the facilities and food at our restaurant.",,,villa,1,False,False,,,,duckduckgo_search,False
"Holiday Villa Gram, Dhaka",agoda.com,https://www.agoda.com/holiday-villa-gram/hotel/dhaka-bd.html,London,"Hotel deals on Holiday Villa Gram in Dhaka. Book now - online with your phone. 24/7 customer support. 2026 prices, updated photos.Services and conveniences. Business facilities. Concierge . Currency exchange. Dry cleaning.",,,"concierge, villa",2,False,True,,,,duckduckgo_search,False
Luxury Vacation Rentals In London For The Winter Season! -,travelsfinders.com,http://travelsfinders.com/luxury-vacation-rentals-london-winter-season.html,London,Make the most of our fabulous 15 percent discounts by reserving your dream London luxury vacation rentals and enjoy your holiday like never before.,,"London, Barcelona, Cyprus, Edinburgh","luxury, premium, boutique, villa",4,False,False,,,,"duckduckgo_search, website_scrape",True
Looking for a London Vacation Rental? We Tried the Plum Guide -,nytimes.com,https://www.nytimes.com/2017/09/01/travel/london-vacation-rentals.html,London,"... between Brexit and a spike in vacation home rentals ? Nicola Butler, the owner of NoteWorthy , a London travel company specializing in luxury trips ...",,London,luxury,1,False,True,,,,duckduckgo_search,False
Perfect For Vacation Rentals In London,golondonapartments.com,https://www.golondonapartments.com/our-services/vacation-rentals/,London,"You will be pleased to know that all our London vacation rentals are located close to public transport (underground, DLR, bus and riverbus) making it ...",,London,"luxury, concierge, private, lavish",4,False,True,,,,"duckduckgo_search, website_scrape",True
"Luxury London Holiday rentals (3,755) England Rent short term",rentholidayhome.com,https://www.rentholidayhome.com/vacation/pt/rentals/scr/england/srg/london/city/london/k/luxury/,London,Luxury Rentals London Holiday rentals English - UK vacation rentals of Apartments and Houses - Short term lettings ... home comforts – this London ...,,London,"luxury, villa, estate",3,False,False,,,,"duckduckgo_search, website_scrape",True
London-Based Luxury Vacation Rentals Marketplace The Plum Guide,calcalistech.com,"https://www.calcalistech.com/ctech/articles/0,7340,L-3759196,00.html",London,"Currently operating in London , Paris, Rome, Milan, Los Angeles, and New York The Plum Guide offers pre-vetted luxury home rentals for vacations in ...",,"London, Rome",luxury,1,False,False,,,,duckduckgo_search,False
United Kingdom Luxury Villa Rentals,rentalescapes.com,https://www.rentalescapes.com/rentals/luxury-vacation-rentals-europe/united-kingdom,London,"Home to some of the world’s best shopping and dining, Knightsbridge rentals make a great base from which to explore London .",,"London, Edinburgh, Cornwall","luxury, exclusive, concierge, villa, 5-star",5,False,True,,,,"duckduckgo_search, website_scrape",True
"Kensington,London Vacation Rental Condo, United Kingdom -",internetvillaholidays.com,http://www.internetvillaholidays.com/United-Kingdom/London/Kensington/1418.html,London,A newly refurbished flat in London . A brand new luxury model bathroom was installed. ... Luxury Self Catering Holiday Home Rentals Platform 2020 ...,,London,luxury,1,False,False,,,,duckduckgo_search,False
